countries_and_territories,country_territory_code,month,pop_data_2019,new_confirmed_cases,new_daily_deaths,confirmed_cases,deaths
Afghanistan,AFG,5,38041757,12576,189,14525,249
Afghanistan,AFG,6,38041757,16713,484,31238,733
Afghanistan,AFG,7,38041757,5304,538,36542,1271
Afghanistan,AFG,8,38041757,1620,131,38162,1402
Afghanistan,AFG,11,38041757,1978,90,43403,1626
Armenia,ARM,5,2957728,7216,99,9282,131
Armenia,ARM,6,2957728,16260,312,25542,443
Armenia,ARM,7,2957728,13008,295,38550,738
Armenia,ARM,10,2957728,39912,383,89813,1341
Armenia,ARM,11,2957728,28073,447,117886,1788
Argentina,ARG,4,44780675,3306,190,4272,214
Argentina,ARG,5,44780675,11929,314,16201,528
Argentina,ARG,6,44780675,46054,752,62255,1280
Argentina,ARG,7,44780675,116728,2031,178983,3311
Argentina,ARG,8,44780675,222243,5090,401226,8401
Argentina,ARG,9,44780675,335370,8118,736596,16519
Argentina,ARG,10,44780675,420570,14273,1157166,30792
Argentina,ARG,11,44780675,153310,4644,1310476,35436
Austria,AUT,3,8858775,9611,108,9618,108
Austria,AUT,4,8858775,5746,472,15364,580
Austria,AUT,5,8858775,1274,88,16638,668
Austria,AUT,10,8858775,56836,283,101443,1079
Austria,AUT,11,8858775,102051,600,203494,1679
Australia,AUS,8,25203200,9367,422,25670,611
Australia,AUS,9,25203200,1393,271,27063,882
Azerbaijan,AZE,11,10047719,21514,249,75688,967
Bosnia_and_Herzegovina,BIH,7,3300998,7101,145,11444,328
Bosnia_and_Herzegovina,BIH,8,3300998,8345,264,19789,592
Bosnia_and_Herzegovina,BIH,9,3300998,7433,244,27222,836
Bosnia_and_Herzegovina,BIH,10,3300998,20931,376,48153,1212
Bosnia_and_Herzegovina,BIH,11,3300998,22747,645,70900,1857
Bangladesh,BGD,4,163046173,7054,158,7103,163
Bangladesh,BGD,5,163046173,37505,447,44608,610
Bangladesh,BGD,6,163046173,97193,1173,141801,1783
Bangladesh,BGD,7,163046173,93088,1300,234889,3083
Bangladesh,BGD,8,163046173,75933,1165,310822,4248
Bangladesh,BGD,9,163046173,51221,971,362043,5219
Bangladesh,BGD,10,163046173,44321,686,406364,5905
Bangladesh,BGD,11,163046173,25969,289,432333,6194
Belgium,BEL,3,11455519,15295,1170,15296,1170
Belgium,BEL,4,11455519,34644,6608,49940,7778
Belgium,BEL,5,11455519,8977,1576,58917,9354
Belgium,BEL,6,11455519,2969,278,61886,9632
Belgium,BEL,10,11455519,319941,1651,442308,11675
Belgium,BEL,11,11455519,93535,2746,535843,14421
Bulgaria,BGR,8,7000039,4770,239,16190,613
Bulgaria,BGR,9,7000039,4357,201,20547,814
Bulgaria,BGR,10,7000039,30494,440,51041,1254
Bulgaria,BGR,11,7000039,47210,876,98251,2130
Bolivia,BOL,5,11513102,8482,251,9592,310
Bolivia,BOL,6,11513102,22533,761,32125,1071
Bolivia,BOL,7,11513102,43109,1823,75234,2894
Bolivia,BOL,8,11513102,40734,2072,115968,4966
Bolivia,BOL,9,11513102,18673,2965,134641,7931
Bolivia,BOL,10,11513102,6990,784,141631,8715
Brazil,BRA,3,211049519,4578,159,4579,159
Brazil,BRA,4,211049519,73583,5307,78162,5466
Brazil,BRA,5,211049519,420278,23368,498440,28834
Brazil,BRA,6,211049519,869755,29480,1368195,58314
Brazil,BRA,7,211049519,1241907,32949,2610102,91263
Brazil,BRA,8,211049519,1252209,29565,3862311,120828
Brazil,BRA,9,211049519,915211,22093,4777522,142921
Brazil,BRA,10,211049519,739136,16556,5516658,159477
Brazil,BRA,11,211049519,332301,6181,5848959,165658
Canada,CAN,3,37411038,7408,89,7424,89
Canada,CAN,4,37411038,44163,2907,51587,2996
Canada,CAN,5,37411038,38592,4077,90179,7073
Canada,CAN,6,37411038,13728,1493,103907,8566
Canada,CAN,7,37411038,11878,363,115785,8929
Canada,CAN,8,37411038,12155,188,127940,9117
Canada,CAN,10,37411038,75038,819,231999,10110
Canada,CAN,11,37411038,64078,843,296077,10953
Democratic_Republic_of_the_Congo,COD,10,86790568,675,35,11305,306
Congo,COG,8,5380504,603,22,3979,78
Switzerland,CHE,3,8544527,15400,295,15412,295
Switzerland,CHE,4,8544527,13912,1112,29324,1407
Switzerland,CHE,5,8544527,1438,249,30762,1656
Switzerland,CHE,10,8544527,100977,254,153728,2035
Switzerland,CHE,11,8544527,102458,921,256186,2956
Chile,CHL,5,18952035,79973,781,94858,997
Chile,CHL,6,18952035,181141,4578,275999,5575
Chile,CHL,7,18952035,77537,3802,353536,9377
Chile,CHL,8,18952035,56438,1867,409974,11244
Chile,CHL,9,18952035,51326,1481,461300,12725
Chile,CHL,10,18952035,47271,1433,508571,14158
Chile,CHL,11,18952035,22702,661,531273,14819
Cameroon,CMR,4,25876387,1690,59,1832,61
